rank,score,store,url,niche,rationale,snapshot_path,blocked,platform,bnpl,reviews,returns,search_personalization,subscriptions,support,ux_keywords
15,7,Brooklinen,https://www.brooklinen.com,Home DTC,"snapshot_ok, reviews, search/personalization, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/brooklinen.html,,"shopify, magento",,yotpo,,dynamic_yield,,,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
16,7,ButcherBox,https://www.butcherbox.com,Subscription food,"snapshot_ok, reviews, returns, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/butcherbox.html,,"shopify, magento",,trustpilot,aftership,,,zendesk,"free_shipping, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
17,6,e.l.f. Cosmetics,https://www.elfcosmetics.com,Beauty DTC,"snapshot_ok, reviews, returns, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/e-l-f-cosmetics.html,,magento,"afterpay, klarna",bazaarvoice,aftership,,,,"free_shipping, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
18,6,Paula's Choice,https://www.paulaschoice.com,Beauty DTC,"snapshot_ok, reviews, returns, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/paula-s-choice.html,,,"afterpay, klarna",powerreviews,narvar,,,,"free_shipping, returns_exchanges, newsletter_signup, loyalty_rewards, sustainability"
19,6,Rare Beauty,https://www.rarebeauty.com,Beauty DTC,"snapshot_ok, bnpl, subscriptions, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/rare-beauty.html,,"shopify, magento",klarna,,,,recharge,gorgias,"free_shipping, returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
20,6,Dermstore,https://www.dermstore.com,Beauty marketplace,"snapshot_ok, reviews, search/personalization, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/dermstore.html,,magento,,"bazaarvoice, powerreviews, trustpilot",,dynamic_yield,,,"returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
21,6,Athletic Brewing,https://athleticbrewing.com,Beverage DTC,"snapshot_ok, reviews, subscriptions, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/athletic-brewing.html,,"shopify, magento",,yotpo,,,recharge,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
22,6,La Colombe,https://www.lacolombe.com,Coffee DTC,"snapshot_ok, search/personalization, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/la-colombe.html,,"shopify, magento",,,,nosto,,zendesk,"free_shipping, newsletter_signup, sustainability"
23,6,Cometeer,https://cometeer.com,Coffee subscription,"snapshot_ok, reviews, subscriptions, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/cometeer.html,,"shopify, magento",,yotpo,,,recharge,,"free_shipping, store_locator, gift_cards, newsletter_signup, sustainability"
24,6,Joybird,https://joybird.com,Furniture DTC,"snapshot_ok, search/personalization, bnpl, support, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/joybird.html,,magento,affirm,,,algolia,,zendesk,"returns_exchanges, size_fit, newsletter_signup, loyalty_rewards, sustainability"
25,6,Casper,https://casper.com,Home DTC,"snapshot_ok, reviews, bnpl, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/casper.html,,"shopify, magento","afterpay, klarna, affirm","yotpo, trustpilot",,,,,"free_shipping, returns_exchanges, size_fit, store_locator, gift_cards, newsletter_signup, sustainability"
26,6,Huel,https://huel.com,Nutrition DTC,"snapshot_ok, reviews, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/huel.html,,"shopify, magento",,trustpilot,,,,zendesk,"free_shipping, returns_exchanges, store_locator, newsletter_signup, loyalty_rewards, sustainability"
27,6,Salomon,https://www.salomon.com,Outdoor DTC,"snapshot_ok, reviews, search/personalization, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/salomon.html,,magento,,bazaarvoice,,"algolia, dynamic_yield",,,"free_shipping, returns_exchanges, size_fit, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
28,6,Decathlon,https://www.decathlon.com,Outdoor retail,"snapshot_ok, search/personalization, support, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/decathlon.html,,"shopify, magento",,,,"rebuy, dynamic_yield",,gorgias,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, sustainability"
29,6,PetSmart,https://www.petsmart.com,Pet retail,"snapshot_ok, reviews, search/personalization, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/petsmart.html,,magento,,bazaarvoice,,algolia,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
30,6,Thorne,https://www.thorne.com,Supplements DTC,"snapshot_ok, reviews, search/personalization, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/thorne.html,,magento,,yotpo,,dynamic_yield,,,"returns_exchanges, newsletter_signup, loyalty_rewards, sustainability"
31,6,Away,https://www.awaytravel.com,Travel DTC,"snapshot_ok, reviews, returns, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/away.html,,"shopify, magento",,bazaarvoice,aftership,,,,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, sustainability"
32,5,Sephora,https://www.sephora.com,Beauty marketplace,"snapshot_ok, reviews, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/sephora.html,,,"afterpay, klarna",bazaarvoice,,,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
33,5,Stumptown Coffee Roasters,https://www.stumptowncoffee.com,Coffee DTC,"snapshot_ok, reviews, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/stumptown-coffee-roasters.html,,"shopify, magento",,bazaarvoice,,,,,"free_shipping, newsletter_signup, sustainability"
34,5,Article,https://www.article.com,Furniture DTC,"snapshot_ok, search/personalization, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/article.html,,magento,affirm,,,algolia,,,"returns_exchanges, gift_cards, newsletter_signup, sustainability"
35,5,Boll & Branch,https://www.bollandbranch.com,Home DTC,"snapshot_ok, search/personalization, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/boll-branch.html,,"shopify, magento",,,,rebuy,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, sustainability"
36,5,Walmart,https://www.walmart.com,Marketplace,"snapshot_ok, reviews, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/walmart.html,,magento,"klarna, affirm",bazaarvoice,,,,,"free_shipping, returns_exchanges, newsletter_signup, loyalty_rewards, sustainability"
37,5,Poshmark,https://poshmark.com,Resale marketplace,"snapshot_ok, reviews, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/poshmark.html,,,affirm,trustpilot,,,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, sustainability"
38,5,AG1,https://athleticgreens.com,Supplements DTC,"snapshot_ok, reviews, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ag1.html,,"shopify, magento",,trustpilot,,,,,"free_shipping, newsletter_signup, loyalty_rewards, sustainability"
39,4,The Ordinary,https://theordinary.com,Beauty DTC,"snapshot_ok, reviews, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/the-ordinary.html,,magento,,bazaarvoice,,,,,"free_shipping, returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
40,4,Garmin,https://www.garmin.com,Electronics DTC,"snapshot_ok, search/personalization, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/garmin.html,,magento,,,,algolia,,,"returns_exchanges, sustainability"
41,4,Samsung,https://www.samsung.com,Electronics DTC,"snapshot_ok, search/personalization, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/samsung.html,,magento,,,,nosto,,,"newsletter_signup, loyalty_rewards, sustainability"
42,4,Sonos,https://www.sonos.com,Electronics DTC,"snapshot_ok, reviews, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/sonos.html,,magento,,"okendo, powerreviews",,,,,"returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
43,4,Ruggable,https://ruggable.com,Home DTC,"snapshot_ok, bnpl, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ruggable.html,,"shopify, magento",klarna,,,,,,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, loyalty_rewards, sustainability"
44,3,Peloton,https://www.onepeloton.com,Fitness DTC,"snapshot_ok, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/peloton.html,,magento,"klarna, affirm",,,,,,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, sustainability"
45,3,Nom Nom,https://www.nomnomnow.com,Subscription pet food,"snapshot_ok, shopify, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/nom-nom.html,,shopify,,,,,,,sustainability
46,3,TUMI,https://www.tumi.com,Travel DTC,"snapshot_ok, bnpl, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/tumi.html,,magento,klarna,,,,,,"free_shipping, returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
47,2,Charlotte Tilbury,https://www.charlottetilbury.com,Beauty DTC,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/charlotte-tilbury.html,,,,,,,,,store_locator
48,2,Nespresso,https://www.nespresso.com,Coffee retail,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/nespresso.html,,,,,,,,,"newsletter_signup, sustainability"
49,2,Apple,https://www.apple.com,Electronics DTC,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/apple.html,,magento,,,,,,,"store_locator, gift_cards, sustainability"
50,2,Bose,https://www.bose.com,Electronics DTC,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/bose.html,,magento,,,,,,,"returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
51,2,Google Store,https://store.google.com,Electronics DTC,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/google-store.html,,magento,,,,,,,sustainability
52,2,Warby Parker,https://www.warbyparker.com,Eyewear DTC,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/warby-parker.html,,,,,,,,,sustainability
53,2,IKEA,https://www.ikea.com,Home retail,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ikea.html,,magento,,,,,,,sustainability
54,2,eBay,https://www.ebay.com,Marketplace,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ebay.html,,,,,,,,,"free_shipping, returns_exchanges, gift_cards, loyalty_rewards, sustainability"
55,2,Target,https://www.target.com,Marketplace,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/target.html,,,,,,,,,sustainability
56,2,Arc'teryx,https://arcteryx.com,Outdoor DTC,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/arc-teryx.html,,magento,,,,,,,"returns_exchanges, store_locator, gift_cards, newsletter_signup, sustainability"
57,2,Patagonia,https://www.patagonia.com,Outdoor DTC,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/patagonia.html,,,,,,,,,sustainability
58,2,Chewy,https://www.chewy.com,Pet e-commerce,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/chewy.html,,,,,,,,,sustainability
59,2,Rent the Runway,https://www.renttherunway.com,Rental marketplace,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/rent-the-runway.html,,magento,,,,,,,"free_shipping, returns_exchanges, gift_cards, loyalty_rewards, sustainability"
60,2,Depop,https://www.depop.com,Resale marketplace,"snapshot_ok, support",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/depop.html,,magento,,,,,,zendesk,
61,2,Imperfect Foods,https://www.imperfectfoods.com,Subscription grocery,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/imperfect-foods.html,,,,,,,,,"newsletter_signup, sustainability"
62,2,Misfits Market,https://www.misfitsmarket.com,Subscription grocery,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/misfits-market.html,,,,,,,,,"free_shipping, newsletter_signup, sustainability"
63,2,Ritual,https://www.ritual.com,Supplements subscription,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/ritual.html,,magento,,,,,,,"gift_cards, newsletter_signup, sustainability"
64,2,Samsonite,https://www.samsonite.com,Travel retail,"snapshot_ok, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/samsonite.html,,magento,,,,,,,sustainability
65,1,Saatva,https://www.saatva.com,Home DTC,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/saatva.html,,,,,,,,,
66,1,Pottery Barn,https://www.potterybarn.com,Home retail,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/pottery-barn.html,,,,,,,,,
67,1,Wayfair,https://www.wayfair.com,Home retail,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/wayfair.html,,magento,,,,,,,
68,1,West Elm,https://www.westelm.com,Home retail,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/west-elm.html,,,,,,,,,
69,1,Williams Sonoma,https://www.williams-sonoma.com,Home retail,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/williams-sonoma.html,,,,,,,,,
70,1,Amazon,https://www.amazon.com,Marketplace,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/amazon.html,,,,,,,,,
71,1,Etsy,https://www.etsy.com,Marketplace,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/etsy.html,,,,,,,,,
72,1,Thrive Market,https://thrivemarket.com,Membership marketplace,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/thrive-market.html,,,,,,,,,
73,1,Backcountry,https://www.backcountry.com,Outdoor retail,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/backcountry.html,,,,,,,,,
74,1,Petco,https://www.petco.com,Pet retail,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/petco.html,,,,,,,,,
75,1,The RealReal,https://www.therealreal.com,Resale marketplace,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/the-realreal.html,,magento,,,,,,,
76,1,Blue Apron,https://www.blueapron.com,Subscription food,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/blue-apron.html,,,,,,,,,
77,1,Vitamin Shoppe,https://www.vitaminshoppe.com,Supplements retail,snapshot_ok,.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/vitamin-shoppe.html,,,,,,,,,
78,-1,Dyson,https://www.dyson.com,Appliances DTC,no_snapshot,https://www.dyson.com,,,,,,,,,
79,-1,Drunk Elephant,https://www.drunk-elephant.com,Beauty DTC,no_snapshot,https://www.drunk-elephant.com,,,,,,,,,
80,-1,OUAI,https://www.ouai.com,Beauty DTC,no_snapshot,https://www.ouai.com,,,,,,,,,
81,-1,Blue Bottle Coffee,https://bluebottlecoffee.com,Coffee DTC,"snapshot_ok, blocked_or_defended, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/blue-bottle-coffee.html,bot_protection_or_blocked,,,,,,,,sustainability
82,-1,Best Buy,https://www.bestbuy.com,Electronics retail,no_snapshot,https://www.bestbuy.com,,,,,,,,,
83,-1,Zenni Optical,https://www.zennioptical.com,Eyewear DTC,no_snapshot,https://www.zennioptical.com,,,,,,,,,
84,-1,Dick's Sporting Goods,https://www.dickssportinggoods.com,Outdoor retail,no_snapshot,https://www.dickssportinggoods.com,,,,,,,,,
85,-1,REI,https://www.rei.com,Outdoor retail,no_snapshot,https://www.rei.com,,,,,,,,,
86,-1,The Farmer's Dog,https://www.thefarmersdog.com,Subscription pet food,"snapshot_ok, blocked_or_defended, ux_keywords",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/the-farmer-s-dog.html,bot_protection_or_blocked,magento,,,,,,,sustainability
87,-2,Aesop,https://www.aesop.com,Beauty DTC,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/aesop.html,bot_protection_or_blocked,magento,,,,,,,
88,-2,Kiehl's,https://www.kiehls.com,Beauty DTC,"snapshot_ok, blocked_or_defended",.blackbox/.plans/2025-12-30_2154_deep-research-ecommerce-benchmark-adjacent-best-in-class-100/artifacts/snapshots/homepages/kiehl-s.html,bot_protection_or_blocked,magento,,,,,,,
