store,url,niche,archetype,what_works,watchouts,features_to_steal,snapshot_file,snapshot_path,snapshot_title,snapshot_description,blocked,platform,bnpl,reviews,support,subscriptions,returns,search_personalization,tracking,ux_keywords,segment,model_score,signal_summary
Lulus,https://www.lulus.com,Occasion dresses (mid-price),DTC brand,Occasion-first shopping with strong search intent capture,PDP confidence needs constant upkeep,Occasion filters; fit guidance; reviews + photos; clear shipping/returns,lulus.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/lulus.html,Shop Women's Dresses & Clothing Online - Lulus,"Shop Lulus for must-have dresses, tops, shoes and accessories. Curated collections, exclusive styles and new items added daily. Everyday free shipping.",,magento,"afterpay, klarna",yotpo,,,,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Other,10.5,"platform: magento; bnpl: afterpay, klarna; reviews: yotpo"
ASOS,https://www.asos.com,Mass fashion marketplace,Marketplace,Massive discovery and inclusive ranges,Site weight and choice overload,Best-in-class filters; inclusive size navigation; fast search,,,,,,,,,,,,,,,Marketplace (Other),3.0,—
Zara,https://www.zara.com,Fast fashion,Legacy retail,High-end editorial feel at scale,Can reduce clarity on product details,Editorial merchandising; collection drops; minimal friction browsing,zara.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/zara.html,,,,,,,,,,,,,Other,3.0,—
H&M,https://www2.hm.com,Value fast fashion,Legacy retail,Broad entry-price assortment and strong promo cadence,Bot protection blocks automated audits,Promo merchandising; category breadth; low-friction checkout,h-m.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/h-m.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,,Other,1.0,blocked
Uniqlo,https://www.uniqlo.com,Basics and functional apparel,Legacy retail,Benefits-led merchandising (fabric tech) builds confidence,Copy-heavy pages can feel dense,Fabric/tech education; comparison modules; clean PDP specs,uniqlo.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/uniqlo.html,"Women's, Men's and Kids' Clothing & Accessories | UNIQLO US","Shop womens fashion from UNIQLO. Buy quality, affordable clothing ranging from XXS to plus sizes for workout, casual or formal styles.",bot_protection_or_blocked,magento,klarna,bazaarvoice,,,narvar,nosto,gtm,"free_shipping, returns_exchanges, size_fit, store_locator, gift_cards, newsletter_signup, sustainability",Other,14.5,blocked; platform: magento; bnpl: klarna; reviews: bazaarvoice; returns: narvar; search: nosto
Mango,https://shop.mango.com,Contemporary womenswear,Legacy retail,Modern visual merchandising that feels premium,Internationalization complexity,Occasion edits; strong imagery; multi-currency UX patterns,mango.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/mango.html,,,,,,,,,,,,,Contemporary Womenswear,3.0,—
COS,https://www.cos.com,Minimal premium fashion,Legacy retail,Premium feel and disciplined product storytelling,Bot protection blocks automated audits,Minimalist PDP; strong typography; restrained promos,cos.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/cos.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,,Other,1.0,blocked
& Other Stories,https://www.stories.com,Contemporary womenswear,Legacy retail,Editorial merchandising with wearable styling,Bot protection blocks automated audits,Outfit styling; editorial PLPs; clean category pages,other-stories.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/other-stories.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,,Contemporary Womenswear,1.0,blocked
Arket,https://www.arket.com,Scandi minimal essentials,Legacy retail,Clear product universes and lifestyle framing,Bot protection blocks automated audits,Category architecture; sustainability cues; modern UX,arket.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/arket.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,,Other,1.0,blocked
Massimo Dutti,https://www.massimodutti.com,Premium high-street,Legacy retail,Premium positioning and editorial merchandising,Can hide product info behind imagery,Editorial collection pages; product styling; premium copy tone,massimo-dutti.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/massimo-dutti.html,,,,,,,,,,,,,Other,3.0,—
Revolve,https://www.revolve.com,Trend fashion marketplace,Marketplace,Fast trend merchandising and influencer-driven discovery,Automated snapshot timed out; manual audit required,Trending edits; influencer merchandising; fast category discovery,,,,,,,,,,,,,,,Marketplace (Other),3.0,—
Shopbop,https://www.shopbop.com,Multi-brand womenswear,Marketplace,Clear discovery + filters tailored to fashion shoppers,Can feel utilitarian vs premium brands,Best-in-class filters; designer taxonomy; wishlists,shopbop.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/shopbop.html,"Shopbop - Designer Clothing, Shoes, Bags & Accessories","Discover the latest apparel, activewear, shoes & accessories from established and emerging designers. Enjoy FREE Two-Day Shipping and FREE Returns.",,magento,,,,,,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Womenswear (Other),6.5,platform: magento
Net-a-Porter,https://www.net-a-porter.com,Luxury womenswear marketplace,Marketplace,Editorial + luxury service cues build trust,Automated snapshot timed out; manual audit required,Editorial merchandising; luxury trust framing; top-tier filtering,,,,,,,,,,,,,,,Luxury Marketplace,3.0,—
Mytheresa,https://www.mytheresa.com,Luxury womenswear marketplace,Marketplace,Extremely polished discovery + merchandising,Can be heavy on imagery/performance,Luxury filters; editorial + commerce blend; high trust UX,mytheresa.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/mytheresa.html,Women's Luxury Fashion & Designer Shopping | Mytheresa,,,,,,,,,,,sustainability,Luxury Marketplace,3.0,—
Farfetch,https://www.farfetch.com,Luxury marketplace (multi-boutique),Marketplace,Massive selection with strong designer taxonomy,Bot protection blocks automated audits,Designer/category taxonomy; discovery at scale; global shipping UX,farfetch.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/farfetch.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,,Luxury Marketplace,1.0,blocked
Moda Operandi,https://www.modaoperandi.com,Luxury trunkshow / editorial commerce,Marketplace,Editorial storytelling tied to commerce,Smaller audience patterns may not generalize,Editorial commerce layout; preorder framing; curated edits,moda-operandi.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/moda-operandi.html,Women's Designer Clothing Collections & Runway Fashion | Moda Operandi,"Shop the latest fashion, jewelry & home at Moda Operandi, from designers including Isabel Marant, Oscar de la Renta, Johanna Ortiz, Prada & more.",,,affirm,,zendesk,,,algolia,,"returns_exchanges, newsletter_signup, loyalty_rewards, sustainability",Other,8.0,bnpl: affirm; search: algolia
SSENSE,https://www.ssense.com,Luxury/streetwear marketplace,Marketplace,Culture-led discovery with strong editorial voice,Bot protection blocks automated audits,Editorial voice; search + merch blend; sharp PDP layouts,ssense.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/ssense.html,Just a moment...,,bot_protection_or_blocked,magento,,,,,,,,,Luxury Marketplace,2.0,blocked; platform: magento
Nordstrom,https://www.nordstrom.com,Department store womenswear,Marketplace,High trust; strong service; robust navigation,Choice overload without guardrails,Filters; pickup/returns trust cues; “best sellers” curation,nordstrom.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/nordstrom.html,,,,,,,,,,,,,Department Store,3.0,—
Nordstrom Rack,https://www.nordstromrack.com,Off-price womenswear,Marketplace,Deal-first discovery and urgency mechanics,Promo noise can hurt confidence,Deal merchandising; clearance UX; strong category navigation,nordstrom-rack.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/nordstrom-rack.html,,,,,,,,,,,,,Womenswear (Other),3.0,—
Saks Fifth Avenue,https://www.saksfifthavenue.com,Luxury department store,Marketplace,Luxury trust + assortment depth,Can feel legacy and heavy,Luxury merchandising; concierge/service cues; filters,saks-fifth-avenue.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/saks-fifth-avenue.html,"Saks Fifth Avenue | Designer Clothing, Shoes, Handbags & More","Get inspired with picks curated just for you from Saks Fifth Avenue. Personalized with you in mind, discover all the latest trends and top designer arrivals, all in one place.",,magento,klarna,,,,,dynamic_yield,gtm,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Department Store,10.5,platform: magento; bnpl: klarna; search: dynamic_yield
Neiman Marcus,https://www.neimanmarcus.com,Luxury department store,Marketplace,High-end merchandising and editorial presentation,Legacy performance/complexity risk,Editorial merchandising; luxury trust cues; designer taxonomy,neiman-marcus.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/neiman-marcus.html,neimanmarcus.com,,,,,,,,,,,,Department Store,3.0,—
Bloomingdale's,https://www.bloomingdales.com,Department store womenswear,Marketplace,Strong brand assortment + promo levers,Can be cluttered and promo-heavy,Promo blocks; filters; omnichannel trust cues,bloomingdales.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/bloomingdales.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,,Department Store,1.0,blocked
SKIMS,https://skims.com,Shapewear + intimates,DTC brand,Fit-confidence merchandising plus strong set building,Can feel hype-driven without clear guidance,Fit/size guidance; complete-the-set; BNPL; fast checkout,skims.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/skims.html,SKIMS | Solutions For Every Body,"SKIMS is a solutions oriented brand creating the next generation of underwear, loungewear and shapewear.",,"shopify, magento","afterpay, klarna",okendo,,,,"algolia, dynamic_yield",,"free_shipping, returns_exchanges, size_fit, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Intimates / Shapewear,14.0,"platform: shopify, magento; bnpl: afterpay, klarna; reviews: okendo; search: algolia, dynamic_yield"
Savage X Fenty,https://www.savagex.com,Lingerie subscription-like model,DTC brand,Membership economics + frequent drops drive repeat purchase,Membership friction can reduce first conversion,Tiered offers; bundles/sets; onboarding flows,savage-x-fenty.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/savage-x-fenty.html,Savage X Fenty,,,magento,,,,,,,,,Intimates / Shapewear,4.0,platform: magento
Victoria's Secret,https://www.victoriassecret.com,Lingerie + intimates,Legacy retail,Category depth and strong “shop by need” entry points,Complex nav can overwhelm,Bra finders; fit guides; category landing pages,victorias-secret.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/victorias-secret.html,"Victoria's Secret: Bras, Swimsuits, Lingerie, Sport & Beauty","The best bras, swimsuits (bikinis, one-pieces), panties, lingerie, and apparel. Shop Victoria's Secret for your favorite PJs, activewear, beauty, and more.",,,"afterpay, klarna",bazaarvoice,,,narvar,,,"returns_exchanges, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Intimates / Shapewear,11.0,"bnpl: afterpay, klarna; reviews: bazaarvoice; returns: narvar"
ThirdLove,https://www.thirdlove.com,Fit-first lingerie,DTC brand,Fit framing + sizing help reduces uncertainty,Needs ongoing social proof freshness,Fit quiz; size guidance; trust + returns messaging,thirdlove.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/thirdlove.html,Thirdlove - Bras and Underwear for Every Body,Bras designed for your body so you always look & feel your best. Available in A-H and half-cup sizes.,,"shopify, magento","afterpay, klarna","yotpo, trustpilot",,,,rebuy,"gtm, ga, meta_pixel","free_shipping, returns_exchanges, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Intimates / Shapewear,13.0,"platform: shopify, magento; bnpl: afterpay, klarna; reviews: yotpo, trustpilot; search: rebuy"
CUUP,https://www.cuup.com,Premium lingerie,DTC brand,Premium brand feel with modern merchandising,Smaller assortment increases out-of-stock sensitivity,Premium PDP design; sizing education; set building,cuup.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/cuup.html,Shop All | CUUP,"Shop bras and bottoms from CUUP. Our unlined bras are available in sizes 30-38, A to H. Made from breathable fabrics that support without constricting",,magento,affirm,,,,narvar,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Intimates / Shapewear,10.5,platform: magento; bnpl: affirm; returns: narvar
Negative Underwear,https://negativeunderwear.com,Premium minimal lingerie,DTC brand,Minimal design that keeps shoppers focused,Needs strong trust/returns info visibility,Minimal PDP; strong imagery; clear policies,negative-underwear.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/negative-underwear.html,Negative | Comfortable Women’s Loungewear and Underwear,"Negative is underwear that fits your life - effortless bras, underwear, thongs and loungewear. We’re not lacy, pink lingerie. We’re sheer, seamless and minimal.",,"shopify, magento",afterpay,okendo,gorgias,,loop_returns,rebuy,gtm,"returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Intimates / Shapewear,14.0,"platform: shopify, magento; bnpl: afterpay; reviews: okendo; returns: loop_returns; search: rebuy"
Girlfriend Collective,https://www.girlfriend.com,Sustainable activewear,DTC brand,Values-led positioning with product clarity,Can be copy-heavy,Sustainability trust cues; material/fabric education; clean PDP,girlfriend-collective.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/girlfriend-collective.html,Girlfriend Collective — Ethically Made Activewear,"Don't make waste, wear it. Girlfriend Collective makes activewear out of recycled materials because trash looks better on you than it does polluting the planet.",,"shopify, magento",,okendo,gorgias,,,,,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Activewear / Athleisure,9.0,"platform: shopify, magento; reviews: okendo"
Lululemon,https://shop.lululemon.com,Premium activewear,Legacy retail,Benefits-led merchandising + variant handling at scale,Automated snapshot limited; manual audit recommended,Fabric/tech education; size/fit confidence; omnichannel trust cues,lululemon.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/lululemon.html,Access Denied,,bot_protection_or_blocked,,,,,,,,,,Activewear / Athleisure,1.0,blocked
Alo Yoga,https://www.aloyoga.com,Premium athleisure,DTC brand,High-gloss merchandising and lifestyle-led discovery,Can prioritize hype over clarity,Lifestyle imagery; best sellers edits; strong PDP media,alo-yoga.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/alo-yoga.html,"ALO | Yoga leggings, clothes, and accessories for studio to street","Shop the best yoga wear & accessories for yoga and working out. Wear-tested by yogis for the best fit. Shop celeb-approved yoga pants, workout tights, leggings, capris & lounge for women & men at aloyoga.com.",,"shopify, magento",afterpay,bazaarvoice,,,,,"gtm, ga, meta_pixel","free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Activewear / Athleisure,13.5,"platform: shopify, magento; bnpl: afterpay; reviews: bazaarvoice"
Athleta,https://www.athleta.gap.com,Women’s activewear,Legacy retail,Clear activity-based shopping paths,Can feel promo-heavy,Activity-based navigation; fit/performance framing; returns clarity,athleta.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/athleta.html,Athleta,,,,"afterpay, klarna",,,,,,,"free_shipping, returns_exchanges, size_fit, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Activewear / Athleisure,10.0,"bnpl: afterpay, klarna"
Fabletics,https://www.fabletics.com,Activewear (membership),DTC brand,Offer-driven conversion mechanics,Membership gating can frustrate shoppers,Offer architecture; onboarding; bundle UX,fabletics.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/fabletics.html,,,,magento,,,,,,,,sustainability,Activewear / Athleisure,4.0,platform: magento
Carbon38,https://www.carbon38.com,Premium activewear marketplace,Marketplace,Curated premium assortment + clean merchandising,Smaller brand awareness,Curated edits; premium PLP/PDP; cross-sells,carbon38.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/carbon38.html,Carbon38 | Performance Fashion Designed to Move with You,"Discover high-fashion activewear and women's ready-to-wear at Carbon38. We bring fashion to function across our curated collection of global activewear brands. Shop women's leggings, tank tops, sports bras, sneakers, outerwear and more.",,"shopify, magento","afterpay, klarna","yotpo, trustpilot",gorgias,,,,gtm,"free_shipping, returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Activewear / Athleisure,12.0,"platform: shopify, magento; bnpl: afterpay, klarna; reviews: yotpo, trustpilot"
Sweaty Betty,https://www.sweatybetty.com,Women’s activewear,Legacy retail,Activity and fit framing boosts confidence,Legacy UX debt risk,Fit guidance; activity edits; loyalty modules,sweaty-betty.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/sweaty-betty.html,Sweaty Betty London | Womens Activewear | Run & Yoga Clothes,"Find your new favourite workout clothes in the Sweaty Betty collection. Designed with your goals in mind, experience active wear that helps you reach your performance peak. Sweaty Betty brings you women's fitness clothing without compromising on style - find fashion and function in the Sweaty Betty range.",,magento,"afterpay, klarna",bazaarvoice,,,narvar,"algolia, dynamic_yield","gtm, ga, meta_pixel, tiktok_pixel","returns_exchanges, size_fit, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Activewear / Athleisure,15.5,"platform: magento; bnpl: afterpay, klarna; reviews: bazaarvoice; returns: narvar; search: algolia, dynamic_yield"
Outdoor Voices,https://www.outdoorvoices.com,Athleisure,DTC brand,Simple category architecture and strong brand tone,Assortment volatility risk,Simple nav; clear value props; minimalist PDP,outdoor-voices.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/outdoor-voices.html,Outdoor Voices — Technical Apparel for Recreation,"Outdoor Voices designs Technical Apparel for Recreation. It's our mission to get the world moving and to free fitness from performance. Get your Doing Things uniform here - Candy Fleece, Energy Dress, Doing Things Skort, TechSweat, & RecTrek. Shop Now.",,"shopify, magento",,"yotpo, okendo",,,,,"gtm, ga","returns_exchanges, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Activewear / Athleisure,8.5,"platform: shopify, magento; reviews: yotpo, okendo"
Summersalt,https://www.summersalt.com,Swimwear,DTC brand,Confidence-centric merchandising with fit cues,Needs excellent size/fit tooling,Fit/coverage framing; model info; PDP media,summersalt.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/summersalt.html,Summersalt | Designer Swimwear Without the Designer Price,"Flattering swimwear designed to fit you, not the other way around. Discover your sustainable swimwear soulmate now from 250+ designer swimwear styles.",,"shopify, magento",,,,,loop_returns,searchspring,,"returns_exchanges, size_fit, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Swimwear,10.5,"platform: shopify, magento; returns: loop_returns; search: searchspring"
Andie Swim,https://andieswim.com,Swimwear,DTC brand,Fit and coverage made legible,Limited assortment requires strong discovery,Coverage tags; fit quiz entry points; clear returns,andie-swim.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/andie-swim.html,Andie Co. | Confidence in comfort. Everyday essentials & swimwear.,"Shop Andie and Richer Poorer for premium women's swimwear, everyday essentials and loungewear. Thoughtful fits, sustainable fabrics, and effortless everyday comfort for men and women. Free exchanges.",,"shopify, magento","afterpay, zip",okendo,,,loop_returns,nosto,gtm,"free_shipping, returns_exchanges, size_fit, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Swimwear,16.5,"platform: shopify, magento; bnpl: afterpay, zip; reviews: okendo; returns: loop_returns; search: nosto"
Frankies Bikinis,https://frankiesbikinis.com,Trend swimwear,DTC brand,Influencer-led merchandising drives intent,Can trade clarity for hype,Trend drops; lifestyle imagery; fast quick-add,frankies-bikinis.html,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/frankies-bikinis.html,Frankies Bikinis | High-Fashion Designer Swimwear | Free Shipping,Effortlessly cool designer swimwear and apparel by Frankies Bikinis. Loved by celebrities and it-girls worldwide. Free US Shipping & Returns. Designed by Francesca Aiello.,,"shopify, magento","afterpay, klarna",,"zendesk, intercom",,,nosto,"gtm, ga, meta_pixel","free_shipping, returns_exchanges, size_fit, store_locator, gift_cards, newsletter_signup, loyalty_rewards, sustainability",Swimwear,13.5,"platform: shopify, magento; bnpl: afterpay, klarna; search: nosto"
