segment,store,niche,archetype,url,score,signals,features_to_steal,watchouts,evidence
Luxury Marketplace,SSENSE,Luxury/streetwear marketplace,Marketplace,https://www.ssense.com,2.0,blocked; platform: magento,Editorial voice; search + merch blend; sharp PDP layouts,Bot protection blocks automated audits,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/ssense.html
Resale / Secondhand,Poshmark,Resale marketplace,Marketplace,https://poshmark.com,10.0,bnpl: affirm; reviews: trustpilot,Social proof loops; offers; saved searches,Varied seller quality impacts trust,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/poshmark.html
Resale / Secondhand,Vinted,Resale marketplace,Marketplace,https://www.vinted.com,10.0,blocked; platform: magento; bnpl: klarna,Low-friction listing/buying; saved searches; shipping UX,Trust mechanisms vary by region,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/vinted.html
Resale / Secondhand,Depop,Resale social marketplace,Marketplace,https://www.depop.com,4.5,platform: magento,Feed discovery; seller profiles; offers,Trust/quality variability,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/depop.html
Rental / Subscription,Nuuly,Rental fashion,Subscription rental,https://www.nuuly.com,10.0,platform: magento,Subscription UX; discovery filters; closet-like saving,Membership friction risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/nuuly.html
Rental / Subscription,Rent the Runway,Rental fashion,Subscription rental,https://www.renttherunway.com,7.5,platform: magento,Membership UX; occasion discovery; wardrobe planning,Onboarding complexity can reduce signups,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/rent-the-runway.html
Plus-size / Inclusive,Lane Bryant,Plus-size womenswear,Legacy retail,https://www.lanebryant.com,11.0,platform: magento; bnpl: klarna,Size-first nav; fit tools; store pickup framing,Promo clutter risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/lane-bryant.html
Plus-size / Inclusive,Eloquii,Plus-size womenswear,Legacy retail,https://www.eloquii.com,10.5,platform: magento; bnpl: affirm; returns: narvar,Occasion filters; inclusive imagery; returns clarity,Promo noise risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/eloquii.html
Plus-size / Inclusive,Torrid,Plus-size womenswear,Legacy retail,https://www.torrid.com,3.0,—,Shop-by-need; fit guidance; loyalty,Legacy UX debt risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/torrid.html
Maternity,Pink Blush Maternity,Maternity,DTC brand,https://www.pinkblushmaternity.com,13.0,"platform: shopify, magento; reviews: yotpo, trustpilot; search: searchspring",Offer architecture; maternity filters; fast checkout,Promo overload risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/pink-blush-maternity.html
Maternity,Hatch,Maternity,DTC brand,https://www.hatchcollection.com,9.5,"platform: shopify, magento; reviews: yotpo; search: nosto",Editorial merchandising; fit guidance; premium trust cues,Higher price increases trust burden,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/hatch.html
Maternity,Seraphine,Maternity,Legacy retail,https://www.seraphine.com,9.0,platform: magento; reviews: bazaarvoice,Maternity fit guidance; occasion edits; returns clarity,Legacy UX risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/seraphine.html
Department Store,Saks Fifth Avenue,Luxury department store,Marketplace,https://www.saksfifthavenue.com,10.5,platform: magento; bnpl: klarna; search: dynamic_yield,Luxury merchandising; concierge/service cues; filters,Can feel legacy and heavy,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/saks-fifth-avenue.html
Department Store,Neiman Marcus,Luxury department store,Marketplace,https://www.neimanmarcus.com,3.0,—,Editorial merchandising; luxury trust cues; designer taxonomy,Legacy performance/complexity risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/neiman-marcus.html
Department Store,Nordstrom,Department store womenswear,Marketplace,https://www.nordstrom.com,3.0,—,Filters; pickup/returns trust cues; “best sellers” curation,Choice overload without guardrails,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/nordstrom.html
Jewelry,Gorjana,Jewelry,DTC brand,https://www.gorjana.com,14.0,"platform: shopify, magento; reviews: okendo; returns: loop_returns; search: nosto",Gift finders; curated edits; fast checkout,Commoditization risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/gorjana.html
Jewelry,Kendra Scott,Jewelry,Legacy retail,https://www.kendrascott.com,14.0,"platform: magento; bnpl: afterpay, affirm; reviews: bazaarvoice",Gift guides; personalization; store locator,Complexity at scale,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/kendra-scott.html
Jewelry,Missoma,Jewelry,DTC brand,https://www.missoma.com,13.0,"platform: shopify, magento; bnpl: klarna; reviews: bazaarvoice; search: klevu",Layering bundles; UGC; gifting UX,Needs strong UGC to reduce doubt,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/missoma.html
Footwear,Loeffler Randall,Shoes + accessories,DTC brand,https://www.loefflerrandall.com,16.5,"platform: shopify, magento; bnpl: afterpay; reviews: okendo; returns: loop_returns; search: searchspring",Premium PDP; styling imagery; cross-sells,Needs strong size/fit info,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/loeffler-randall.html
Footwear,Steve Madden,Shoes,Legacy retail,https://www.stevemadden.com,15.5,"platform: shopify, magento; bnpl: afterpay; reviews: yotpo; returns: narvar; search: algolia",Promo merchandising; category breadth; filters,Promo clutter risk,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/steve-madden.html
Footwear,Rothy's,Shoes + accessories,DTC brand,https://rothys.com,14.5,"platform: shopify, magento; bnpl: afterpay; reviews: yotpo",Benefit-led PDP; UGC/reviews; fast checkout,Sizing confidence remains critical,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/rothys.html
Accessories,Telfar,Streetwear accessories,DTC brand,https://telfar.net,8.5,"platform: shopify, magento; bnpl: klarna",Waitlists; drop messaging; SMS/email capture,Scarcity can create UX frustration,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/telfar.html
Accessories,Longchamp,Accessories,Legacy retail,https://www.longchamp.com,6.0,platform: magento,Localization; premium PDP; gifting UX,Internationalization complexity,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/longchamp.html
Accessories,Tory Burch,Accessories + womenswear,Legacy retail,https://www.toryburch.com,5.5,platform: magento,Premium PDP; brand storytelling; store locator,High imagery weight,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/tory-burch.html
Marketplace (Other),ASOS,Mass fashion marketplace,Marketplace,https://www.asos.com,3.0,—,Best-in-class filters; inclusive size navigation; fast search,Site weight and choice overload,https://www.asos.com
Marketplace (Other),Revolve,Trend fashion marketplace,Marketplace,https://www.revolve.com,3.0,—,Trending edits; influencer merchandising; fast category discovery,Automated snapshot timed out; manual audit required,https://www.revolve.com
Womenswear (Other),Free People,Boho womenswear,Legacy retail,https://www.freepeople.com,13.0,"platform: magento; bnpl: afterpay, klarna, affirm; reviews: bazaarvoice",Trending edits; outfit styling; UGC + reviews; free-shipping thresholds,Navigation can get long/scroll-heavy,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/free-people.html
Womenswear (Other),Anthropologie,Boho womenswear + lifestyle,Legacy retail,https://www.anthropologie.com,11.5,"platform: magento; bnpl: afterpay, klarna, affirm; reviews: bazaarvoice",Editorial collections; cross-category merchandising; rich PDP media,Can overwhelm users with variety,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/anthropologie.html
Womenswear (Other),Universal Standard,Inclusive womenswear,DTC brand,https://www.universalstandard.com,9.5,"platform: shopify, magento; reviews: yotpo, okendo",Inclusive sizing UX; fit guidance; easy exchanges,Assortment breadth still needs guardrails,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/universal-standard.html
Other,Marc Jacobs,Designer fashion,Legacy retail,https://www.marcjacobs.com,14.5,"platform: magento; bnpl: afterpay, klarna; returns: narvar; search: nosto",Editorial product pages; curated drops; wishlists,Limited inventory can frustrate,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/marc-jacobs.html
Other,Uniqlo,Basics and functional apparel,Legacy retail,https://www.uniqlo.com,14.5,blocked; platform: magento; bnpl: klarna; reviews: bazaarvoice; returns: narvar; search: nosto,Fabric/tech education; comparison modules; clean PDP specs,Copy-heavy pages can feel dense,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/uniqlo.html
Other,Urban Outfitters,Youth fashion + streetwear,Legacy retail,https://www.urbanoutfitters.com,14.5,"platform: magento; bnpl: afterpay, klarna, affirm; reviews: bazaarvoice; search: nosto",PLP quick add; trend capsules; personalization recommendations,Can be noisy and promo-saturated,.blackbox/.plans/2025-12-29_0523_deep-research-ecommerce-benchmark-womens-fashion/artifacts/snapshots/homepages/urban-outfitters.html
