sweep,name,category,website,notes,slug,evidence_status,snapshot_title,snapshot_description,evidence_file
core,Elastic Path,headless commerce,https://www.elasticpath.com,"Composable/headless commerce | blocked by Cloudflare bot check (""Just a moment..."") in CLI snapshots",elastic-path,blocked,Just a moment...,,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/elastic-path.md
core,Gorgias,helpdesk,https://www.gorgias.com,Shopify-native support workflows,gorgias,ok,The Conversational AI platform for Ecommerce | Gorgias,"Drive more sales and automate support with AI Agent, Helpdesk integrated to your stack, Chat, FAQ and more. Trusted by top 15,000 brands and counting.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/gorgias.md
core,Happy Returns,returns,https://happyreturns.com,Returns drop-off network,happy-returns,ok,Returns software and reverse logistics for  e-commerce merchants,"Happy Returns, a UPS company, makes returns beautiful for shoppers,",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/happy-returns.md
core,Help Scout,helpdesk,https://www.helpscout.com,Email-first helpdesk,help-scout,ok,"Help Scout: Shared Inbox, Help Center, & Live Chat Software","Help Scout's shared inbox, help center, and live chat software gives your team the tools you need to easily manage customer communications.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/help-scout.md
core,Intercom,customer messaging,https://www.intercom.com,Support + automation + inbox,intercom,ok,The AI customer service company,Fin is the leading AI Agent for customer service delivering the highest quality answers and handling the most complex queries. Employ Fin on any helpdesk or the Intercom Suite today.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/intercom.md
core,Judge.me,reviews,https://judge.me,Affordable reviews app,judge-me,ok,Judge.me Product Reviews | Where Trust Drives Commerce,"Judge.me helps you collect, showcase, and share product and store reviews with high-converting widgets and integrations. Build trust and boost sales.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/judge-me.md
core,Klaviyo,email/sms marketing,https://www.klaviyo.com,Lifecycle marketing automation,klaviyo,ok,Klaviyo: AI Email Marketing & SMS | B2C CRM,"Klaviyo unifies AI-powered email marketing and SMS to drive growth, retention, and measurable results. Build personalized, omnichannel experiences across WhatsApp, ecommerce, and more with K:AI Agents.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/klaviyo.md
core,Klevu,site search,https://www.klevu.com,Ecommerce search + discovery,klevu,ok,Elevate your ecommerce game | Blog for online retailers,"Expert ecommerce blog and articles on search, merchandising, personalization, and more to help you skyrocket conversions.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/klevu.md
core,Kustomer,helpdesk,https://www.kustomer.com,Omnichannel support platform,kustomer,ok,The AI-Powered Customer Service CRM Platform | Kustomer,"With Kustomer, deliver faster, richer experiences to your customers with omnichannel messaging, a unified customer view, and AI-powered automations.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/kustomer.md
core,Lightspeed eCom,commerce platform,https://www.lightspeedhq.com,Retail + ecommerce,lightspeed-ecom,ok,Independent Business Management Blog- Lightspeed,"Learn how to run an independent business in the retail, restaurant, golf, and eCommerce industry.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/lightspeed-ecom.md
core,Loop Returns,returns,https://loopreturns.com,Returns portal + exchanges UX,loop-returns,ok,Returns Management for Ecommerce Brands,"Loop is the returns management software that helps ecommerce brands save time and money, retain more revenue, and drive customer loyalty. Book a demo today.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/loop-returns.md
core,Loox,reviews/ugc,https://loox.io,Photo reviews + UGC,loox,ok,Error,"Loox is a social proof marketing platform that empowers over 100,000 Shopify and Shopify Plus merchants to grow their brands by turning real customers into ambassadors that submit visual reviews, share product experiences, and refer friends.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/loox.md
core,Mailchimp,email marketing,https://mailchimp.com,Email marketing platform,mailchimp,ok,"Marketing, Automation & Email Platform | Mailchimp","Use real-time behavior data and AI to convert more customers with Mailchimp's marketing, automation & email marketing platform. Easy to use - start for free!",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/mailchimp.md
core,Medusa,headless commerce (oss),https://medusajs.com,OSS commerce backend,medusa,ok,Medusa - World's most flexible commerce platform,The most popular ecommerce project on GitHub. Medusa provides the world's most flexible commerce platform for developers to handle specialized commerce cases.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/medusa.md
core,Narvar,post-purchase,https://www.narvar.com,Tracking + returns + post-purchase comms,narvar,ok,Narvar | Intelligent Personalization “Beyond Buy”,"Narvar's IRIS™ analyzes billions of data points, creating post-purchase experiences that boost customer loyalty, efficiency and drive sustainable retail growth.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/narvar.md
core,Nosto,personalization,https://www.nosto.com,Personalization + merchandising,nosto,ok,AI-powered ecommerce personalization | Nosto,"Boost sales and loyalty with Nosto’s AI-powered ecommerce personalization, merchandising, and search tools.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/nosto.md
core,OpenCart,commerce platform,https://www.opencart.com,"Open-source ecommerce platform | blocked by Cloudflare bot check (""Attention Required"") on main site; docs snapshot has no meta description",opencart,blocked,Attention Required! | Cloudflare,,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/opencart.md
core,Ordergroove,subscriptions,https://www.ordergroove.com,Enterprise subscriptions,ordergroove,ok,Subscriptions For Serious Brands | Ordergroove,Ordergroove powers subscriptions and recurring revenue for serious brands. Turn one-time transactions into lasting relationships. Find out how.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/ordergroove.md
core,Postscript,sms marketing,https://postscript.io,SMS marketing for ecommerce,postscript,ok,Postscript - SMS Marketing and Sales for Shopify Brands,Engage with customers wherever they are. Postscript helps you build strong customer relationships across the entire buying experience. Start your free trial today.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/postscript.md
core,PrestaShop,commerce platform,https://prestashop.com,SMB commerce platform,prestashop,ok,Create an online shop easily - Ecommerce | PrestaShop,"Launch your ecommerce website, customize your online store and start selling your products with the PrestaShop ecommerce platform.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/prestashop.md
core,Re:amaze,helpdesk,https://www.reamaze.com,Ecom-friendly support suite,re-amaze,ok,"Re:amaze - Customer service, live chat, and helpdesk solutions for online businesses.","Re:amaze is Simple, Intuitive Customer Support Software. Support, Engage, and Convert Customers with Chat, Social, SMS, FAQ, and Email on a Single Platform. Everything you need to impress your customers.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/re-amaze.md
core,Recharge,subscriptions,https://rechargepayments.com,Subscriptions (Shopify-heavy),recharge,ok,Subscriptions & Recurring Payments for Ecommerce - Recharge,"The world’s leading subscription platform, powering 71% of subscriptions sold on Shopify stores.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/recharge.md
core,ReturnGO,returns,https://returngo.ai,Returns management portal,returngo,ok,Sustainable Returns & Exchanges Management - ReturnGO,Easy-to-use self-service return management portal that allows customers to return and exchange products increases revenue and customer retention.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/returngo.md
core,Saleor,headless commerce (oss),https://saleor.io,GraphQL-first OSS commerce,saleor,ok,"Saleor - Composable, Open Source, Headless Ecommerce Platform","A headless, open source, GraphQL-first e-commerce platform. API-first design for composable era and technology agnostic stack.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/saleor.md
core,Salesforce Commerce Cloud,commerce platform,https://www.salesforce.com/products/commerce-cloud/overview/,Enterprise commerce platform,salesforce-commerce-cloud,ok,Agentforce Commerce (formerly Commerce Cloud) | Salesforce,"Reach goals faster, unlock new revenue, and drive automation with the most flexible ecommerce platform. Power commerce everywhere with AI.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/salesforce-commerce-cloud.md
core,ShipBob,fulfillment (3PL),https://www.shipbob.com,Fulfillment + WMS-like ops,shipbob,ok,Global Ecommerce Fulfillment Solution | ShipBob,"Ecommerce fulfillment across all channels. ShipBob empowers businesses to scale, offer 2-day shipping, and manage inventory and shipments.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/shipbob.md
core,ShipHero,warehouse management,https://shiphero.com,WMS + fulfillment ops tooling,shiphero,ok,404 - Page Not Found - ShipHero,ShipHero WMS is a fully featured Warehouse Management System designed for DTC brands and 3PL providers running their own warehouse and shipping operations.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/shiphero.md
core,ShipMonk,fulfillment (3PL),https://www.shipmonk.com,Fulfillment + warehouse ops,shipmonk,ok,ShipMonk: Leading E-commerce Fulfillment & 3PL Services,"Transform your business with our E-commerce Fulfillment Services for faster delivery, reduced costs, and enhanced visibility.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/shipmonk.md
core,Shippo,shipping,https://goshippo.com,Shipping API + labels,shippo,ok,About the Shippo API,The shipping layer of the internet.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/shippo.md
core,ShipStation,shipping,https://www.shipstation.com,Shipping label + ops dashboard,shipstation,ok,Shipping Software for Ecommerce Fulfillment - ShipStation,"Import, manage and ship your orders with ShipStation. Our shipping software will save you time and money on eCommerce order fulfillment.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/shipstation.md
core,Shopify,commerce platform,https://www.shopify.com,Baseline ecommerce platform + admin UX,shopify,ok,Shopify: The All-in-One Commerce Platform for Businesses - Shopify,Try Shopify free and start a business or grow an existing one. Get more than ecommerce software with tools to manage every part of your business.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/shopify.md
core,Shopware,commerce platform,https://www.shopware.com,EU commerce platform,shopware,ok,The ecommerce platform to power your online business | Shopware,Shopware is a trendsetting ecommerce platform for building and customizing a fully responsive online store with the perfect blend of design and functionality.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/shopware.md
core,Skio,subscriptions,https://skio.com,Subscriptions for Shopify brands,skio,ok,The subscription platform top Shopify brands graduate to | Skio,"Outgrown your subscription platform? Brands like Grüns, IM8, and Dog is Human partner with Skio to cut churn, boost LTV, and build experiences subscribers actually stick around for. See why 1,000+ Shopify brands made the move.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/skio.md
core,Spree Commerce,headless commerce (oss),https://spreecommerce.org,Ruby-based commerce platform,spree-commerce,ok,"Spree Commerce - Open Source eCommerce Platform - B2B, Marketplace, Multi-tenant",An open-source eCommerce platform for B2C & B2B. Multi-vendor Marketplace. Multi-tenant eCommerce. Headless API available.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/spree-commerce.md
core,Square Online,commerce platform,https://squareup.com/us/en/online-store,Omnichannel POS + online store,square-online,ok,Sell online - build a free online store or eCommerce website | Square,Create and customize an eCommerce website that fits your brand with the all-in-one website platform. Start your free trial today.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/square-online.md
core,Squarespace Commerce,commerce platform,https://www.squarespace.com/ecommerce,Website builder + ecommerce,squarespace-commerce,ok,Ecommerce Website Builder - Start an Online Store — Squarespace,"Create an ecommerce website with Squarespace to sell products, services, or",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/squarespace-commerce.md
core,Sylius,headless commerce (oss),https://sylius.com,Symfony/PHP commerce platform,sylius,ok,Sylius - Open Source Headless eCommerce Platform,Sylius is Open Source Headless eCommerce Platform for mid-market and enterprise brands that need custom solutions.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/sylius.md
core,Vendure,headless commerce (oss),https://www.vendure.io,Node/TS headless commerce,vendure,ok,Open Source Headless Commerce | Vendure,Powering Fortune500 companies and high-growth startups.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/vendure.md
core,VTEX,commerce platform,https://vtex.com,Enterprise commerce + OMS,vtex,ok,VTEX | The backbone for connected commerce,VTEX is the backbone for connected commerce that delivers more efficiency and less maintenance to organizations seeking to make smarter IT investments and modernize their tech stack.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/vtex.md
core,Wix eCommerce,commerce platform,https://www.wix.com/ecommerce,Website builder + ecommerce,wix-ecommerce,ok,eCommerce Website Builder: Build An eCommerce Site | Wix.com,Wix eCommerce is your all-in-one eCommerce platform. Create a fully customizable free eCommerce website & upgrade to start selling everywhere.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/wix-ecommerce.md
core,WooCommerce,commerce platform,https://woocommerce.com,WordPress ecommerce ecosystem,woocommerce,ok,WooCommerce,WooCommerce is the open-source ecommerce platform that helps merchants and developers build successful businesses for the long term.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/woocommerce.md
core,Yotpo,reviews/ugc,https://www.yotpo.com,Reviews + loyalty + SMS,yotpo,ok,Yotpo: Ecommerce Marketing Platform For Loyalty & Reviews,Drive growth with Yotpo. Our platform for loyalty programs and customer reviews helps eCommerce brands build lasting customer relationships,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/yotpo.md
core,Zendesk,helpdesk,https://www.zendesk.com,General helpdesk + integrations,zendesk,ok,Zendesk: Transform Customer & Employee Service with AI Agents,"Transform customer and employee service with Zendesk AI Agents—trusted by 200,000+ companies. Deliver fast, personalized support across chat, email, voice, and more.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-02-competitors-core-015445/competitors/evidence/zendesk.md
adjacent,AB Tasty,experimentation,https://www.abtasty.com,"A/B testing + personalization | blocked by Cloudflare bot check (""Just a moment..."") in CLI snapshots",ab-tasty,blocked,Just a moment...,,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/ab-tasty.md
adjacent,Airbyte,ELT (oss),https://airbyte.com,OSS ELT connectors,airbyte,ok,Page not found - Airbyte - Open-source Data Integration,"Explore Airbyte, your go-to data integration platform and ELT tool. Seamlessly integrate, transform, and load data with our powerful, user-friendly solution.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/airbyte.md
adjacent,Amplitude,product analytics,https://amplitude.com,Product analytics + experimentation,amplitude,ok,AI Analytics Platform for Modern Digital Analytics | Amplitude,"Build better products by turning your user data into meaningful insights, using Amplitude's digital analytics platform and experimentation tools.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/amplitude.md
adjacent,Apache Superset,BI (oss),https://superset.apache.org,OSS BI dashboards,apache-superset,ok,Welcome | Superset,"Community website for Apache Superset™, a data visualization and data exploration platform",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/apache-superset.md
adjacent,Appsmith,internal tools (oss),https://www.appsmith.com,OSS internal tool builder,appsmith,ok,Appsmith | Open-Source Low-Code Application Platform,"Stop grappling with data, scouring for the perfect React library, and coding everything from scratch. Build custom software 10X faster with Appsmith.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/appsmith.md
adjacent,Appwrite,backend platform (oss),https://appwrite.io,OSS backend primitives,appwrite,ok,Appwrite - The developers' cloud,"Appwrite is an open-source platform for building applications at any scale, using your preferred programming languages and tools.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/appwrite.md
adjacent,Budibase,internal tools (oss),https://budibase.com,OSS low-code internal tools,budibase,ok,"Budibase | Build internal tools in minutes, the easy way","Budibase is an open source low-code platform and the easiest way to build, automate, and ship internal tools. Check it out.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/budibase.md
adjacent,Builder.io,page builder,https://www.builder.io,Visual page building,builder-io,ok,Builder.io: AI Frontend Engineer,"Builder is an AI Frontend Engineer that helps teams generate, iterate, and optimize web and mobile experiences in seconds instead of sprints.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/builder-io.md
adjacent,ConfigCat,feature flags,https://configcat.com,Remote config + flags,configcat,ok,ConfigCat - Feature Flag Service for Teams,"ConfigCat is a feature flag service with unlimited seats, awesome support, and a reasonable price tag.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/configcat.md
adjacent,Contentful,headless CMS,https://www.contentful.com,Headless CMS + content ops,contentful,ok,Content that scales. Experiences that convert. | Contentful,"Contentful DXP uses AI-driven analytics to help you personalize, optimize, and create standout digital experiences at scale. Effortlessly.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/contentful.md
adjacent,Convert.com,experimentation,https://www.convert.com,A/B testing platform,convert-com,ok,Convert.com A/B Testing Tool. Reliable & Affordable.,"Convert.com’s A/B testing tool has split testing, personalization, advanced goals, fast support, and monthly payments.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/convert-com.md
adjacent,dbt,analytics engineering,https://www.getdbt.com,Transformation framework,dbt,ok,Deliver trusted data with dbt | dbt Labs,"dbt Labs empowers data teams to build reliable, governed data pipelines—accelerating analytics and AI initiatives with speed and confidence.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/dbt.md
adjacent,Directus,headless CMS (oss),https://directus.io,OSS data + CMS,directus,ok,The Headless CMS + Backend for Every Custom Build,"Built for developers who need more than just a CMS. Manage complex content structures, handle digital assets, and control user permissions – all through an intuitive Studio.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/directus.md
adjacent,Firebase,backend platform,https://firebase.google.com,Backend primitives (adjacent),firebase,ok,Firebase | Google's Mobile and Web App Development Platform,"Discover Firebase, Google’s mobile and web app development platform that helps developers build apps and games that users will love.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/firebase.md
adjacent,Flagsmith,feature flags (oss),https://flagsmith.com,OSS feature flags + remote config,flagsmith,ok,Not Found,"Flagsmith makes it easy to create and manage feature flags. Roll out, segment, and optimise. Stay secure with on-premise and private cloud hosting.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/flagsmith.md
adjacent,FullStory,session replay,https://www.fullstory.com,Session replay + UX insights,fullstory,ok,Fullstory | Behavioral Data & Digital Analytics Platform | Fullstory,Discover a behavioral data platform that surfaces user sentiment buried between clicks to create better products that win loyal customers for life.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/fullstory.md
adjacent,GrowthBook,experimentation (oss),https://www.growthbook.io,OSS experimentation + feature flags,growthbook,ok,GrowthBook - Open Source Feature Flags and A/B Tests,(no meta description tag present in homepage snapshot),.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/growthbook.md
adjacent,Heap,product analytics,https://heap.io,Auto-capture analytics,heap,ok,Heap - Better Insights. Faster. | Heap,"Heap is the only digital insights platform that shows everything users do on your site, revealing the ""unknown unknowns"" that stay invisible with other tools.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/heap.md
adjacent,Hotjar,heatmaps/session replay,https://www.hotjar.com,Heatmaps + recordings,hotjar,ok,Hotjar: Website Heatmaps & Behavior Analytics Tools,"The next best thing to sitting beside someone browsing your site. See where they click, ask what they think, and learn why they drop off. Get started for free.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/hotjar.md
adjacent,LaunchDarkly,feature flags,https://launchdarkly.com,Enterprise feature flagging,launchdarkly,ok,"LaunchDarkly: Feature Flags, Feature Management, and Experimentation",Maximize the value of every software feature through automation and feature management.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/launchdarkly.md
adjacent,LogRocket,session replay,https://logrocket.com,Session replay for web apps,logrocket,ok,Session Replay | Product Analytics | Error Tracking | LogRocket,"LogRocket helps you understand problems affecting your users, so that you can get back to building great software.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/logrocket.md
adjacent,Make (Integromat),workflow automation,https://www.make.com,"Automation platform | blocked by Cloudflare bot check (""Just a moment..."") in CLI snapshots",make-integromat,blocked,Just a moment...,,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/make-integromat.md
adjacent,Matomo,web analytics (oss),https://matomo.org,OSS web analytics alternative,matomo,ok,Privacy-first Google Analytics Alternative - App & Web Analytics - Matomo,Don’t damage your reputation with Google Analytics. Matomo is the ethical alternative where you won’t make privacy sacrifices or compromise your site.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/matomo.md
adjacent,Meltano,ELT (oss),https://meltano.com,OSS ELT framework,meltano,ok,Meltano: Extract & Load with joy,Meltano is an open source data movement tool built for data engineers that gives them complete control and visibility of their pipelines.,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/meltano.md
adjacent,Metabase,BI (oss),https://www.metabase.com,OSS BI dashboards,metabase,ok,Open source Business Intelligence and Embedded Analytics,"Metabase is the easy, open-source way for everyone to ask questions and learn from data.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/metabase.md
adjacent,Mixpanel,product analytics,https://mixpanel.com,Event analytics + funnels | blocked: site returns empty/near-empty HTML in CLI snapshots (likely bot protection / redirect),mixpanel,blocked,Page not found - Mixpanel | Product Analytics,,.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/mixpanel.md
adjacent,n8n,workflow automation (oss),https://n8n.io,OSS automation workflows,n8n,ok,AI Workflow Automation Platform & Tools - n8n,"n8n is a workflow automation platform that uniquely combines AI capabilities with business process automation, giving technical teams the flexibility of code with the speed of no-code.",.blackbox/.plans/2025-12-29_0154_deep-research-feature-research-step-03-competitors-adjacent-015445/competitors/evidence/n8n.md
