# Competitor seeds (pipe-delimited): name|category|website|notes
#
# Examples:
# Shopify|commerce platform|https://www.shopify.com|Baseline platform
# Medusa|headless commerce|https://medusajs.com|OSS headless backend

# --- Core ecommerce platforms / headless commerce ---
Rise.ai|gift cards/store credit|https://rise.ai|Gift cards + store credit + loyalty adjacent (Shopify app)
Growave|loyalty/ugc|https://growave.io|Loyalty/rewards + reviews/UGC suite posture
Yotpo Loyalty|loyalty|https://www.yotpo.com/loyalty|Loyalty & rewards module within Yotpo retention suite

# --- Retention / messaging / marketing ops ---
Klaviyo|email/sms marketing|https://www.klaviyo.com|Lifecycle marketing automation
Attentive|sms marketing|https://www.attentive.com|SMS marketing + journeys
Postscript|sms marketing|https://postscript.io|SMS marketing for ecommerce
Mailchimp|email marketing|https://mailchimp.com|Email marketing platform

# --- Reviews / UGC (merchant admin patterns) ---
Yotpo|reviews/ugc|https://www.yotpo.com|Reviews + loyalty + SMS
Judge.me|reviews|https://judge.me|Affordable reviews app
Loox|reviews/ugc|https://loox.io|Photo reviews + UGC

# --- Search / merchandising / personalization ---
Algolia|site search|https://www.algolia.com|Hosted search + merchandising
Klevu|site search|https://www.klevu.com|Ecommerce search + discovery
Nosto|personalization|https://www.nosto.com|Personalization + merchandising

# --- Analytics / attribution / BI (merchant admin dashboards) ---
Daasity|analytics/bi|https://www.daasity.com|Ecommerce analytics + reporting for merchants
Peel|analytics/bi|https://www.peelinsights.com|Ecommerce insights/BI dashboards for brands
Northbeam|attribution|https://www.northbeam.io|Attribution + performance measurement for ecommerce
Triple Whale|analytics/attribution|https://www.triplewhale.com|Ecommerce analytics/attribution for Shopify brands (Cloudflare risk)
Lifetimely|profit analytics|https://lifetimely.io|Profit & LTV analytics (now redirects to Amp)
TrueProfit|profit analytics|https://apps.shopify.com/trueprofit|Profit analytics app (Shopify listing is durable evidence)
Metorik|analytics/email|https://metorik.com|WooCommerce analytics + email automation (merchant admin workflows)
